           time           x_01           y_01           x_02           y_02           x_03           y_03           x_04           y_04           x_05           y_05           x_06           y_06           x_07           y_07           x_08           y_08
    1.02539E-01    1.08630E-02   -1.48245E-03    1.58028E-01   -1.76125E-01   -1.59141E-01    5.45537E-01   -4.27834E-01    2.00114E-01   -1.54951E-01   -3.15564E-01   -1.36205E-02   -1.56882E-01    6.28611E-01   -2.35389E-01   -4.17345E-02   -4.51471E-01
    1.07422E-01   -2.57866E-03    4.98471E-03    1.37158E-01   -1.01698E-01   -1.77646E-01    4.46190E-01   -3.41235E-01    2.65377E-01   -9.87411E-02   -3.30785E-01   -1.20947E-02   -1.57422E-01    5.78812E-01   -1.41251E-01   -8.09968E-02   -3.16668E-01
    1.12305E-01   -1.45471E-02    9.87614E-03    1.00400E-01   -8.57606E-03   -2.01118E-01    2.77522E-01   -1.81271E-01    3.59159E-01   -2.33322E-02   -3.44463E-01   -7.86789E-03   -1.21477E-01    4.83439E-01    9.99382E-03   -1.39813E-01   -1.17330E-01
    1.17188E-01   -2.55017E-02    1.38466E-02    5.59770E-02    9.23524E-02   -2.26175E-01    7.59640E-02    1.35683E-02    4.64822E-01    6.05102E-02   -3.56229E-01   -2.32283E-03   -6.72879E-02    3.65396E-01    1.87502E-01   -2.07146E-01    1.11474E-01
    1.22070E-01   -3.60114E-02    1.76859E-02    1.36440E-02    1.88248E-01   -2.48845E-01   -1.15276E-01    1.97615E-01    5.62710E-01    1.40066E-01   -3.65702E-01    2.89736E-03   -1.65654E-02    2.51890E-01    3.54730E-01   -2.69943E-01    3.28230E-01
    1.26953E-01   -4.66153E-02    2.21417E-02   -1.73697E-02    2.66972E-01   -2.65375E-01   -2.55327E-01    3.27673E-01    6.34241E-01    2.03306E-01   -3.72529E-01    6.23833E-03    1.01517E-02    1.68668E-01    4.77118E-01   -3.15859E-01    4.93672E-01
    1.31836E-01   -5.76921E-02    2.77524E-02   -3.03125E-02    3.19588E-01   -2.73000E-01   -3.14275E-01    3.72144E-01    6.65779E-01    2.41396E-01   -3.76425E-01    6.56481E-03   -2.11556E-03    1.34549E-01    5.29353E-01   -3.35844E-01    5.79017E-01
    1.36719E-01   -6.93637E-02    3.47243E-02   -2.23375E-02    3.42201E-01   -2.70509E-01   -2.79477E-01    3.17707E-01    6.51468E-01    2.50529E-01   -3.77203E-01    3.40233E-03   -5.95736E-02    1.57428E-01    5.00689E-01   -3.26031E-01    5.71986E-01
    1.41602E-01   -8.14553E-02    4.28799E-02    4.89249E-03    3.36731E-01   -2.58482E-01   -1.58230E-01    1.72150E-01    5.94430E-01    2.32701E-01   -3.74787E-01   -2.96040E-03   -1.58297E-01    2.32586E-01    3.97198E-01   -2.88532E-01    4.79358E-01
    1.46484E-01   -9.35188E-02    5.16880E-02    4.55510E-02    3.10471E-01   -2.39152E-01    2.37580E-02   -3.72535E-02    5.06083E-01    1.95270E-01   -3.69206E-01   -1.15302E-02   -2.85007E-01    3.43656E-01    2.40482E-01   -2.30988E-01    3.25508E-01
